Date,GEO,Sex,Characteristics,Estimates,UOM,VALUE
2017/2018,Newfoundland and Labrador,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,5300
2017/2018,Newfoundland and Labrador,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,33.5
2017/2018,Newfoundland and Labrador,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,20.8
2017/2018,Newfoundland and Labrador,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,49
2017/2018,Newfoundland and Labrador,Both sexes,"Non-immigrants, immigrant status",Number of persons,Number,208600
2017/2018,Newfoundland and Labrador,Both sexes,"Non-immigrants, immigrant status",Percentage of persons,Percent,50.5
2017/2018,Newfoundland and Labrador,Both sexes,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,48.1
2017/2018,Newfoundland and Labrador,Both sexes,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,52.9
2017/2018,Newfoundland and Labrador,Both sexes,"Visible minority, visible minority or Indigenous",Number of persons,Number,3100
2017/2018,Newfoundland and Labrador,Both sexes,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,26.7
2017/2018,Newfoundland and Labrador,Both sexes,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,12.9
2017/2018,Newfoundland and Labrador,Both sexes,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,47.2
2017/2018,Newfoundland and Labrador,Both sexes,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,21600
2017/2018,Newfoundland and Labrador,Both sexes,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,52
2017/2018,Newfoundland and Labrador,Both sexes,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,45.2
2017/2018,Newfoundland and Labrador,Both sexes,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,58.8
2017/2018,Newfoundland and Labrador,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,185300
2017/2018,Newfoundland and Labrador,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,49.9
2017/2018,Newfoundland and Labrador,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,47.4
2017/2018,Newfoundland and Labrador,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,52.5
2017/2018,Newfoundland and Labrador,Both sexes,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Newfoundland and Labrador,Both sexes,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Newfoundland and Labrador,Both sexes,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Newfoundland and Labrador,Both sexes,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Newfoundland and Labrador,Males,"Total, selected characteristics",Number of persons,Number,110700
2017/2018,Newfoundland and Labrador,Males,"Total, selected characteristics",Percentage of persons,Percent,52.7
2017/2018,Newfoundland and Labrador,Males,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,49
2017/2018,Newfoundland and Labrador,Males,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,56.4
2017/2018,Newfoundland and Labrador,Males,"High school or less, household education",Number of persons,Number,26900
2017/2018,Newfoundland and Labrador,Males,"High school or less, household education",Percentage of persons,Percent,58.3
2017/2018,Newfoundland and Labrador,Males,"High school or less, household education","Low 95% confidence interval, percentage",Percent,51.6
2017/2018,Newfoundland and Labrador,Males,"High school or less, household education","High 95% confidence interval, percentage",Percent,64.7
2017/2018,Newfoundland and Labrador,Males,"At least post-secondary education, household education",Number of persons,Number,80000
2017/2018,Newfoundland and Labrador,Males,"At least post-secondary education, household education",Percentage of persons,Percent,51.3
2017/2018,Newfoundland and Labrador,Males,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,47
2017/2018,Newfoundland and Labrador,Males,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,55.6
2017/2018,Newfoundland and Labrador,Males,"Lowest income, household income",Number of persons,Number,36900
2017/2018,Newfoundland and Labrador,Males,"Lowest income, household income",Percentage of persons,Percent,55.6
2017/2018,Newfoundland and Labrador,Males,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,49.8
2017/2018,Newfoundland and Labrador,Males,"Lowest income, household income","High 95% confidence interval, percentage",Percent,61.3
2017/2018,Newfoundland and Labrador,Males,"Middle income, household income",Number of persons,Number,40500
2017/2018,Newfoundland and Labrador,Males,"Middle income, household income",Percentage of persons,Percent,54.5
2017/2018,Newfoundland and Labrador,Males,"Middle income, household income","Low 95% confidence interval, percentage",Percent,48.8
2017/2018,Newfoundland and Labrador,Males,"Middle income, household income","High 95% confidence interval, percentage",Percent,60.1
2017/2018,Newfoundland and Labrador,Males,"Highest income, household income",Number of persons,Number,33300
2017/2018,Newfoundland and Labrador,Males,"Highest income, household income",Percentage of persons,Percent,48
2017/2018,Newfoundland and Labrador,Males,"Highest income, household income","Low 95% confidence interval, percentage",Percent,40.8
2017/2018,Newfoundland and Labrador,Males,"Highest income, household income","High 95% confidence interval, percentage",Percent,55.3
2017/2018,Newfoundland and Labrador,Males,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,3300
2017/2018,Newfoundland and Labrador,Males,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,31.5
2017/2018,Newfoundland and Labrador,Males,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,16.9
2017/2018,Newfoundland and Labrador,Males,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,51
2017/2018,Newfoundland and Labrador,Males,"Non-immigrants, immigrant status",Number of persons,Number,107400
2017/2018,Newfoundland and Labrador,Males,"Non-immigrants, immigrant status",Percentage of persons,Percent,53.8
2017/2018,Newfoundland and Labrador,Males,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,50.1
2017/2018,Newfoundland and Labrador,Males,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,57.5
2017/2018,Newfoundland and Labrador,Males,"Visible minority, visible minority or Indigenous",Number of persons,Number,
2017/2018,Newfoundland and Labrador,Males,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,
2017/2018,Newfoundland and Labrador,Males,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,
2017/2018,Newfoundland and Labrador,Males,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,
2017/2018,Newfoundland and Labrador,Males,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,12000
2017/2018,Newfoundland and Labrador,Males,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,58.3
2017/2018,Newfoundland and Labrador,Males,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,46.9
2017/2018,Newfoundland and Labrador,Males,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,68.9
2017/2018,Newfoundland and Labrador,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,94500
2017/2018,Newfoundland and Labrador,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,52.2
2017/2018,Newfoundland and Labrador,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,48.2
2017/2018,Newfoundland and Labrador,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,56.2
2017/2018,Newfoundland and Labrador,Males,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Newfoundland and Labrador,Males,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Newfoundland and Labrador,Males,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Newfoundland and Labrador,Males,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Newfoundland and Labrador,Females,"Total, selected characteristics",Number of persons,Number,103200
2017/2018,Newfoundland and Labrador,Females,"Total, selected characteristics",Percentage of persons,Percent,47.1
2017/2018,Newfoundland and Labrador,Females,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,43.8
2017/2018,Newfoundland and Labrador,Females,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,50.4
2017/2018,Newfoundland and Labrador,Females,"High school or less, household education",Number of persons,Number,34100
2017/2018,Newfoundland and Labrador,Females,"High school or less, household education",Percentage of persons,Percent,63.2
2017/2018,Newfoundland and Labrador,Females,"High school or less, household education","Low 95% confidence interval, percentage",Percent,57.8
2017/2018,Newfoundland and Labrador,Females,"High school or less, household education","High 95% confidence interval, percentage",Percent,68.3
